 # Number of iterations in MCMC :        90000
 # Weight   -ln(L/L_{max})    omega_b    omega_cdm    n_s    A_s    H0    m_ncdm    MG_beta2 
          10   79706.867276663354       1.97030454874038696E-002  0.11320281028747559       0.96827137470245361       2.19821539872136372E-009   65.058235168457031       9.78876021690666676E-004  0.56235319375991821     
           3   79706.640718673167       1.97021495550870895E-002  0.11320171505212784       0.96826434135437012       2.19824684466979761E-009   65.057365417480469       9.46750165894627571E-004  0.56163483858108521     
          26   79705.634730839869       1.97025444358587265E-002  0.11320386826992035       0.96825927495956421       2.19823321803691268E-009   65.057968139648438       9.34142793994396925E-004  0.56265074014663696     
           4   79706.901209993550       1.97010207921266556E-002  0.11320194602012634       0.96825933456420898       2.19821592281681790E-009   65.057571411132813       9.16079909075051546E-004  0.56136548519134521     
           1   79706.981843984569       1.97000615298748016E-002  0.11319927126169205       0.96826624870300293       2.19823583853667668E-009   65.056465148925781       9.45970183238387108E-004  0.56072032451629639     
           2   79709.926220748690       1.96993574500083923E-002  0.11319442093372345       0.96828067302703857       2.19821644691239739E-009   65.055221557617188       9.40641388297080994E-004  0.56085848808288574     
           2   79712.229622301587       1.96983721107244492E-002  0.11319085210561752       0.96829187870025635       2.19820386865298000E-009   65.054351806640625       9.59109282121062279E-004  0.56007897853851318     
           1   79711.337865561261       1.96987949311733246E-002  0.11319179832935333       0.96829372644424438       2.19821539872136372E-009   65.054840087890625       9.94478818029165268E-004  0.55939161777496338     
           1   79710.767194788379       1.96993518620729446E-002  0.11319301277399063       0.96829706430435181       2.19823112163935099E-009   65.055404663085938       1.05216051451861858E-003  0.55901610851287842     
           3   79709.071056250279       1.96997970342636108E-002  0.11319614946842194       0.96829432249069214       2.19822850114520975E-009   65.056358337402344       1.09261949546635151E-003  0.55907440185546875     
           5   79710.968642090491       1.96998249739408493E-002  0.11319329589605331       0.96830505132675171       2.19823374213661526E-009   65.055992126464844       1.11319893039762974E-003  0.55893588066101074     
           7   79710.645879307238       1.96992885321378708E-002  0.11319354176521301       0.96829938888549805       2.19827933928909528E-009   65.056030273437500       1.13318429794162512E-003  0.55833011865615845     
           2   79711.555358828744       1.96981802582740784E-002  0.11319196969270706       0.96830964088439941       2.19823583853667668E-009   65.055389404296875       1.16028101183474064E-003  0.55831235647201538     
           1   79712.010182212078       1.96975152939558029E-002  0.11318969726562500       0.96830904483795166       2.19827357407965362E-009   65.054527282714844       1.15482578985393047E-003  0.55768799781799316     
           2   79712.120194741961       1.96975003927946091E-002  0.11319047212600708       0.96830558776855469       2.19826571245478111E-009   65.054794311523438       1.14150380250066519E-003  0.55734229087829590     
           3   79712.253334066278       1.96968615055084229E-002  0.11318836361169815       0.96831309795379639       2.19826571245478111E-009   65.053985595703125       1.15913583431392908E-003  0.55554646253585815     
          18   79713.225820191510       1.96968093514442444E-002  0.11318737268447876       0.96831727027893066       2.19828562862573085E-009   65.053916931152344       1.19187997188419104E-003  0.55521291494369507     
           8   79713.951911865064       1.96960028260946274E-002  0.11318635940551758       0.96831369400024414       2.19828510451365738E-009   65.053527832031250       1.16375519428402185E-003  0.55551946163177490     
           1   79713.190879956383       1.96959227323532104E-002  0.11318780481815338       0.96830362081527710       2.19830135204604300E-009   65.053901672363281       1.14069157280027866E-003  0.55566596984863281     
           4   79713.540326748727       1.96959841996431351E-002  0.11318746209144592       0.96830546855926514       2.19831288262574882E-009   65.053909301757813       1.15710915997624397E-003  0.55609458684921265     
           1   79715.853600022398       1.96953825652599335E-002  0.11318600177764893       0.96831619739532471       2.19828195984383991E-009   65.053947448730469       1.19613448623567820E-003  0.55576413869857788     
